 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano processamento
Período:Jan/2008-Ago/2020
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"431260 Muçum";120521,20;151677,21;132865,03;139609,22;203177,39;208249,71;226358,40;229132,56;210698,62;213221,19;199241,10;213181,54;140539,70;2388472,87
"431265 Não-Me-Toque";304324,39;365147,84;361214,82;313699,40;354344,13;542182,69;575025,06;512811,87;381006,27;413027,60;346005,06;364942,10;237941,15;5071672,38
"431270 Nonoai";796709,00;943938,89;828821,94;598944,86;962271,71;1117271,94;1196640,13;1347829,86;1447627,62;1419483,39;1340874,06;1294461,71;802526,71;14097401,82
"431275 Nova Alvorada";18131,74;1947,22;-;-;-;-;-;-;-;-;-;-;-;20078,96
"431290 Nova Bassano";-;122210,58;170652,14;196657,68;207448,55;216882,33;220227,50;213124,78;213857,18;221904,55;210788,54;242804,07;160824,46;2397382,36
"431300 Nova Bréscia";177458,46;176128,51;174642,97;194386,03;210729,11;227842,77;242953,50;216755,35;192154,93;206606,69;206786,88;166484,07;115545,43;2508474,70
"431310 Nova Palma";308051,16;429673,95;474344,20;406475,39;386736,32;394094,13;436411,26;403588,94;417382,87;461748,03;458275,86;494747,09;256573,51;5328102,71
"431320 Nova Petrópolis";409312,06;526879,21;482184,00;397220,15;429221,27;405181,43;435179,03;380200,29;473865,75;534596,08;510168,12;572420,80;546438,71;6102866,90
"431330 Nova Prata";408029,27;456103,94;565989,24;556328,79;704107,06;755868,50;871892,62;748362,74;858560,99;869946,53;1062056,99;967458,67;641368,35;9466073,69
"431340 Novo Hamburgo";8662424,10;13836289,28;17344265,10;16618733,52;16078038,85;18472595,91;20255310,00;21190054,45;22364112,46;24443858,72;24149618,63;26052384,95;17196378,68;246664064,65
"431350 Osório";1125808,90;1340968,40;1470057,33;1559590,80;1489940,24;1739813,79;591749,28;1232103,65;1602021,16;1785643,84;1730377,90;1939204,82;2420329,09;20027609,20
"431360 Paim Filho";160250,17;170229,84;132940,22;159406,96;168665,46;214611,18;248232,79;290834,04;183860,78;233334,89;296018,68;379632,21;188183,42;2826200,64
"431365 Palmares do Sul";208939,99;222657,16;244805,21;220997,68;193063,60;163880,99;147645,79;139124,08;182221,77;135596,52;134675,97;176992,46;81552,47;2252153,69
"431370 Palmeira das Missões";1495447,50;1615085,03;1455879,36;1383704,83;1201533,65;1356882,37;1149786,33;989169,01;1193525,47;1313873,92;1475404,13;1880519,57;988505,46;17499316,63
"431380 Palmitinho";413174,67;525526,98;581512,63;532501,44;635005,16;773086,76;757883,56;695413,84;672165,51;644653,65;574741,15;636788,32;357389,66;7799843,33
"431390 Panambi";829702,39;1098279,84;970173,03;894201,39;995411,21;1020804,29;1027680,18;1159245,32;1406357,80;1371226,28;1123812,96;1311633,77;732724,35;13941252,81
"431400 Paraí";336149,56;347038,44;303604,55;254615,93;217019,78;217455,22;169203,99;205195,05;184975,45;204036,65;238687,67;229459,65;94456,17;3001898,11
"431402 Paraíso do Sul";176584,12;180712,72;197811,44;98491,58;118469,39;190290,16;295932,08;220090,29;215895,44;168216,54;160545,85;200151,45;130130,80;2353321,86
"431405 Parobé";1532368,13;1790236,59;1385190,78;1282453,20;1397043,06;1351744,41;2435674,77;1813963,34;1825481,80;2471268,59;2587153,66;3095148,57;1559721,18;24527448,08
"431410 Passo Fundo";59708057,86;69965292,11;71578330,41;73502255,24;77017715,04;96126815,87;89385334,15;98319615,93;96726328,21;97869656,11;109776615,59;100191564,71;66005787,35;1106173368,58
"431415 Paverama";160197,00;157118,14;146818,74;165679,73;162657,14;147086,93;-;-;-;-;-;-;-;939557,68
"431420 Pedro Osório";266051,57;267154,85;260305,26;435937,56;430919,63;356207,43;339529,76;233592,13;311558,37;245664,41;256567,85;245861,96;155209,32;3804560,10
"431430 Pejuçara";64399,24;82056,43;69445,20;70295,55;44016,04;50200,40;29396,42;54065,44;63487,91;37490,91;28713,35;33696,56;21886,26;649149,71
"431440 Pelotas";23970487,28;28039516,52;30182694,07;33726930,48;33249528,58;36547309,39;38817302,21;42816772,39;43279336,77;42803588,29;45136430,66;44508049,01;27643533,07;470721478,72
"431447 Pinhal Grande";115604,62;125912,03;119747,86;67634,34;46519,41;48413,47;22442,06;68158,33;105274,41;87154,00;97258,50;90677,78;41063,48;1035860,29
"431450 Pinheiro Machado";286284,19;181066,13;175692,05;204589,35;155243,36;109720,77;154107,14;166956,99;152986,05;104426,18;116464,28;125200,73;51795,28;1984532,50
"431460 Piratini";628512,86;542045,49;514728,08;467023,83;528141,43;621638,49;582389,31;633537,22;708480,74;895621,89;944731,58;802582,57;381047,83;8250481,32
"431470 Planalto";358424,10;353763,54;373879,60;340876,17;396604,81;318460,47;401272,52;399480,21;452238,82;417360,81;388809,84;395912,43;182061,87;4779145,19
"431480 Portão";949009,10;1319811,48;1200881,35;1086756,08;1039407,23;972029,44;1693440,48;1609211,96;902670,92;802832,57;944869,51;1425489,90;338604,70;14285014,72
"431490 Porto Alegre";237013181,41;284620245,32;288263532,19;285250231,24;301312476,12;334381728,17;359241700,77;383811112,17;368970336,96;375025886,93;367993710,80;396531040,09;247507535,82;4229922717,99
"431500 Porto Lucena";201364,03;199693,13;199553,81;202003,75;254384,38;232527,12;204846,25;214808,95;294410,25;294243,76;243758,92;245072,95;93069,89;2879737,19
"431510 Porto Xavier";365753,50;402121,55;384932,60;414453,83;354097,23;408625,93;480861,73;487127,63;428716,18;419833,60;405898,00;343827,34;171901,68;5068150,80
"431515 Progresso";412094,39;410372,99;439015,52;468304,36;530552,41;510069,09;546304,36;630098,37;530881,42;478050,57;461746,10;567580,35;203079,67;6188149,60
"431520 Putinga";104271,01;119543,06;133553,43;159830,65;153167,88;160270,99;104691,82;94166,65;59178,18;73081,02;79995,20;77692,55;33621,03;1353063,47
"431530 Quaraí";619690,45;656334,73;687197,44;578038,00;612378,55;657580,62;784398,23;829674,77;726251,52;801313,99;861516,94;807945,06;467418,21;9089738,51
"431535 Quinze de Novembro";59867,40;64386,21;74353,51;96033,19;91734,23;99806,99;108033,08;94563,31;84075,84;92716,91;88747,50;105243,61;63370,31;1122932,09
"431540 Redentora";243229,90;172918,84;150719,01;156130,89;189241,52;25293,91;-;-;-;-;-;-;-;937534,07
"431550 Restinga Seca";387369,07;396133,40;386237,34;340753,64;310143,95;286875,95;258616,07;327328,11;431972,53;314480,89;257815,22;308644,55;104686,85;4111057,57
"431560 Rio Grande";19992653,36;24584854,53;22963542,70;23605100,44;21094441,52;26198581,60;24515564,41;23922239,55;22137017,82;18708188,79;19858162,13;22145316,44;17069844,33;286795507,62
"431570 Rio Pardo";865155,43;963479,90;1026155,37;929302,35;872355,90;1077498,71;1200386,22;1933199,73;2411782,21;2343016,22;2261987,68;2056443,91;1134511,37;19075275,00
"431575 Riozinho";104466,64;113373,69;118652,72;76125,86;69455,19;59823,59;71592,80;45253,21;54590,38;47814,43;50105,65;51179,99;26113,30;888547,45
"431580 Roca Sales";177088,69;246485,85;276909,37;257303,95;275638,04;259443,52;273400,39;234842,60;241419,70;226535,03;208979,86;204444,40;99986,39;2982477,79
"431590 Rodeio Bonito";912825,93;1289132,18;1379106,71;1415754,52;1447252,91;2309393,94;2104925,83;1752674,24;1170907,60;1201881,11;1316337,99;1220666,00;815198,90;18336057,86
"431600 Rolante";457182,83;496807,97;449859,40;471195,57;520286,00;370108,68;1047228,50;897938,43;696617,69;619575,01;525594,33;510778,96;269386,05;7332559,42
"431610 Ronda Alta";650911,75;741863,48;1007671,06;970614,89;1109592,27;1263158,75;1359983,89;1527331,49;1496258,65;1490694,30;1502189,34;1434299,01;833275,12;15387844,00
"431620 Rondinha";133669,89;158444,64;174422,82;120667,32;114327,76;144584,92;167202,43;157013,82;154240,51;150379,53;202935,36;188340,95;110405,53;1976635,48
"431630 Roque Gonzales";168949,78;169228,78;163466,59;156978,21;140651,51;142412,48;123207,63;141292,37;128704,65;114954,89;110621,66;109262,22;58888,67;1728619,44
"431640 Rosário do Sul";1639839,30;2080713,02;2498514,62;2367197,75;2618735,30;2467137,34;2386492,65;2065576,04;2272015,15;2279349,07;2460205,17;2451359,35;1466850,49;29053985,25
"431643 Saldanha Marinho";64346,62;60904,01;48494,47;33540,90;17575,88;21351,73;4153,61;13175,03;32139,21;30001,25;30268,87;29104,33;10623,86;395679,77
"431645 Salto do Jacuí";315765,53;379626,63;385066,08;356123,19;291887,70;269146,70;310686,61;212133,41;191112,09;137850,82;178681,13;193070,42;131113,26;3352263,57
"431650 Salvador do Sul";174885,69;212183,59;175758,57;126925,88;70610,49;156673,85;142636,86;124278,94;117283,49;93067,61;102592,90;68439,38;47850,32;1613187,57
"431660 Sananduva";324569,04;421213,54;439554,82;383957,15;395437,71;550597,45;533872,29;893933,52;997105,41;1224258,04;1371372,46;1368690,44;612866,24;9517428,11
"431710 Sant'Ana do Livramento";3112932,33;2393445,11;1896683,03;3098696,34;3265304,86;3452138,62;3865027,21;4421597,50;4331236,54;3737840,78;3923339,11;4283695,94;2505958,26;44287895,63
"431670 Santa Bárbara do Sul";264435,39;284108,23;302687,37;342687,73;323727,59;337951,52;424228,05;374726,75;410049,84;430965,09;431638,65;362135,33;215732,21;4505073,75
"431675 Santa Clara do Sul";22680,85;41861,49;30315,80;39691,45;51405,75;49969,29;-;-;-;-;-;-;-;235924,63
"431680 Santa Cruz do Sul";8203558,82;10017245,61;10335801,49;10760874,32;13757879,31;18957117,78;17109217,82;17885378,13;18322965,60;18457713,95;17323151,57;21837461,84;13795199,29;196763565,53
"431690 Santa Maria";12753198,79;16386644,67;16760349,07;17421049,98;16359963,17;18477026,33;20955727,68;21141393,84;24664810,25;19316647,44;21184715,10;31501690,80;21045622,98;257968840,10
"431720 Santa Rosa";4420212,51;5657284,48;5521270,09;5822017,63;5914129,85;6994104,55;7407088,95;7906880,69;7846043,61;9001486,65;10313019,78;11453505,89;9175171,86;97432216,54
"431730 Santa Vitória do Palmar";598066,10;769706,41;670239,28;609545,31;724440,40;627554,69;683118,93;1012260,52;954995,06;925098,05;844102,06;890815,38;436824,87;9746767,06
"431700 Santana da Boa Vista";132734,21;133334,39;153568,88;139657,08;149923,63;98231,48;60938,16;1367,18;8076,52;7084,13;-;-;-;884915,66
"431740 Santiago";2114227,38;2225366,27;2368740,44;1949074,51;1868996,74;1696487,72;2346435,54;3159856,15;3369917,20;3199099,20;3746816,04;4131747,08;2613802,94;34790567,21
"431750 Santo Ângelo";3558542,69;4899936,57;7084054,38;6740431,13;7545863,16;8946712,50;10154424,93;9088901,09;8779498,93;8805188,25;11131085,29;11336454,23;8645239,50;106716332,65
"431760 Santo Antônio da Patrulha";937511,32;855455,85;1365752,45;1310257,71;1354004,88;1568395,73;1526322,20;345647,49;522654,66;123680,15;413704,28;664779,47;547116,38;11535282,57
"431780 Santo Augusto";1082048,13;1231864,35;1233588,97;1325898,43;1243505,72;1402186,68;1278540,02;1316579,78;1365999,62;1327122,31;1377684,95;1404541,12;874983,66;16464543,74
"431790 Santo Cristo";523608,38;675223,38;670381,78;769729,10;836846,04;854345,46;870350,53;814360,90;940684,86;804479,18;825352,13;713584,79;341120,63;9640067,16
"431800 São Borja";2857825,08;3266497,92;4019238,85;3672166,27;4188031,06;4657634,04;4495970,47;4863693,23;4853086,09;4746254,86;4932280,14;4843149,53;3246900,01;54642727,55
"431805 São Domingos do Sul";51380,75;42723,25;30651,06;-;-;-;-;-;-;-;-;-;-;124755,06
"431810 São Francisco de Assis";619724,22;658419,10;776589,87;708228,14;581335,32;705695,63;948428,27;738630,04;735635,53;687016,72;866678,89;571898,15;214001,33;8812281,21
"431820 São Francisco de Paula";517439,59;732081,02;761565,53;857446,36;793447,51;847422,91;801453,04;774717,33;717344,67;698086,89;663004,79;604277,79;415197,40;9183484,83
"431830 São Gabriel";2513813,36;2906762,29;3292599,67;3564358,71;4394523,56;4414251,75;4544568,11;4925712,39;4920900,80;5241959,87;5720299,16;5645876,88;3388668,57;55474295,12
"431840 São Jerônimo";880020,07;888250,75;1064008,00;1140055,67;1410398,44;1692334,90;1532991,65;2080358,59;2219829,92;2366822,08;2639690,54;2709819,66;1786369,82;22410950,09
"431843 São João do Polêsine";-;-;-;-;-;45410,08;44430,06;65470,44;53293,82;47510,11;50409,58;57451,12;44490,63;408465,84
"431846 São José do Herval";68108,26;60225,25;50256,23;35990,78;4280,51;-;23397,45;32351,34;42002,59;43434,73;10212,91;-;-;370260,05
"431849 São José do Inhacorá";37970,14;22015,95;20968,08;22894,98;14084,74;19973,76;23428,51;26446,90;33363,17;22539,14;2113,98;-;-;245799,35
"431850 São José do Norte";623757,38;573380,89;525276,56;513480,26;511098,97;303795,38;388283,52;374068,80;376156,51;374893,31;460452,77;515418,76;249966,86;5790029,97
"431860 São José do Ouro";234467,86;284582,12;272782,12;412556,94;408970,67;487595,33;759132,30;987578,18;780981,60;802938,16;891510,01;622547,55;309634,49;7255277,33
"431870 São Leopoldo";7836172,37;8884865,40;10464583,16;10615289,77;9434394,63;11186972,86;11131089,50;10943905,08;11521909,62;12182995,97;9781811,12;9800256,67;8550849,15;132335095,30
"431880 São Lourenço do Sul";1408838,71;1395373,30;1329532,83;1410251,34;1634755,04;1789432,81;1649750,64;1716343,66;1633174,91;1707282,42;1714350,16;1814507,42;994215,54;20197808,78
"431890 São Luiz Gonzaga";1547376,71;1892664,61;1842931,28;1952632,41;2307447,25;2445367,44;2172105,68;2444313,49;2496233,47;2532732,01;2662735,90;2738675,31;1614491,93;28649707,49
"431900 São Marcos";673719,14;714820,20;735745,00;739177,88;663204,24;729589,76;766489,42;805356,00;773505,34;790408,04;751470,65;694875,02;424991,30;9263351,99
"431910 São Martinho";182360,69;149793,43;112176,20;110045,32;108161,78;122281,13;92646,30;115307,86;106178,08;165801,05;146299,27;122964,45;65235,02;1599250,58
"431915 São Miguel das Missões";241500,35;294594,67;270730,07;283280,84;313278,94;314797,81;296737,91;276139,02;376517,28;392566,36;396618,71;404988,89;142402,38;4004153,23
"431930 São Paulo das Missões";192650,11;221837,06;204864,01;248601,49;261261,23;251881,98;276782,15;293181,02;260495,30;289531,77;301660,61;277356,23;113479,96;3193582,92
"431940 São Pedro do Sul";441188,70;698901,74;632431,50;445511,19;522823,28;454863,52;294271,93;276122,52;323429,11;286673,33;338328,77;347091,01;152965,03;5214601,63
"431950 São Sebastião do Caí";533315,27;746401,77;1142656,39;941302,16;741556,89;873458,79;760675,86;900527,76;960909,74;983721,00;1015000,26;1262915,01;626010,56;11488451,46
"431960 São Sepé";858013,30;999520,89;977449,66;938436,71;998853,55;836804,61;800256,65;700673,87;767820,27;626379,17;630492,14;697254,54;415797,44;10247752,80
"431980 São Vicente do Sul";170938,27;215045,09;191254,02;134015,01;95629,07;42775,28;89522,79;75512,07;124759,16;132439,28;96920,63;102672,50;68280,94;1539764,11
"431990 Sapiranga";3188742,91;4321213,02;4146387,84;3656487,33;3371175,80;4754817,55;5406856,64;4740411,62;4904601,71;4505959,34;5807735,52;6092873,42;4069607,77;58966870,47
"432000 Sapucaia do Sul";3118598,02;4909821,74;5393586,49;5504127,45;5469383,14;8575443,16;7333575,82;8300749,14;8147764,41;7681884,47;6632617,39;8083419,01;5356604,32;84507574,56
"432010 Sarandi";662668,24;734529,55;767345,56;791273,04;897023,72;1010072,94;878938,78;940293,15;933750,44;1058187,43;1394695,79;1362739,49;844489,03;12276007,16
"432020 Seberi";273563,67;324534,78;332223,54;310241,85;345479,39;487287,58;502324,01;490996,32;616946,51;730542,34;865266,94;789222,82;505304,95;6573934,70
"432026 Segredo";183207,70;166775,39;161789,81;169472,97;207434,47;214766,99;258365,77;277261,75;302130,07;342906,42;279795,43;281449,69;172710,43;3018066,89
"432030 Selbach";142903,24;162022,66;139267,15;92902,05;120770,83;115575,96;181333,13;175545,14;173272,74;131818,87;106646,12;85005,01;45596,87;1672659,77
"432040 Serafina Corrêa";268966,66;280368,32;270818,85;206225,47;307079,69;250104,58;255427,82;289743,81;289741,85;365345,02;344755,01;327799,47;184402,35;3640778,90
"432045 Sério";26627,41;43278,09;16487,44;23821,90;14834,85;7065,59;8334,90;14800,35;25225,12;14533,04;21446,98;19220,02;9219,65;244895,34
"432050 Sertão";163357,82;200091,45;198802,97;157620,09;230935,77;191356,34;179473,52;203113,17;193094,97;220809,66;175925,69;188454,75;130230,54;2433266,74
"432060 Severiano de Almeida";133117,22;184982,49;174311,57;182153,91;204096,61;133454,16;160295,66;151896,23;125154,77;113055,25;91719,12;95243,20;69471,50;1818951,69
"432065 Silveira Martins";7005,34;5770,33;-;-;-;2668,82;-;-;-;-;-;-;-;15444,49
"432067 Sinimbu";275305,43;292738,08;271503,08;267189,10;335770,72;313573,54;314414,72;328685,17;280980,67;286866,74;264443,11;293648,90;103762,91;3628882,17
"432070 Sobradinho";796467,73;818483,95;786769,27;890456,03;1081920,79;1145723,69;1013077,78;933664,29;944276,28;1162441,94;1063817,05;869463,45;318647,36;11825209,61
"432080 Soledade";1055348,64;1213462,05;1205615,48;1111463,38;1235746,33;1256211,93;1408300,62;1416301,81;1215947,69;1502888,36;1564063,04;1435722,86;1076600,48;16697672,67
"432090 Tapejara";467567,33;517248,00;494614,12;492698,90;473897,68;736053,21;886404,19;974897,69;996943,76;1128304,23;1313392,14;1339411,62;822192,51;10643625,38
"432100 Tapera";221602,04;197233,37;216919,29;192156,62;204668,84;339372,28;369074,97;306235,60;243631,41;225262,74;247690,40;299538,98;148480,96;3211867,50
"432110 Tapes";277727,69;371374,72;376741,86;301131,00;266766,89;218118,70;56458,29;79641,94;91071,98;2432,72;-;-;-;2041465,79
"432120 Taquara";360833,34;57838,73;1089883,14;2048288,45;2865358,48;3702936,60;3573708,30;3035941,21;2300740,28;3078815,85;3094512,03;3027320,09;855511,38;29091687,88
"432130 Taquari";532873,41;620245,19;734544,91;822379,11;805211,48;1796677,36;1447303,34;977814,19;883778,41;614144,79;375512,33;520238,57;596985,72;10727708,81
"432132 Taquaruçu do Sul";38078,86;25489,49;14161,50;23889,11;-;-;-;-;-;-;-;-;-;101618,96
"432140 Tenente Portela";664295,38;933743,45;1089304,45;927402,35;1056389,00;1394525,17;2218924,97;2993912,36;2980917,29;3570497,44;4106473,64;4766774,98;4200591,82;30903752,30
"432145 Teutônia";772398,32;814814,32;907195,64;942682,70;1094654,10;1389664,76;2174819,37;1790171,28;1499138,74;2007495,46;2158378,37;2173534,68;1174607,40;18899555,14
"432150 Torres";2227486,52;2455453,06;2675969,64;2189160,80;2151960,73;2461729,94;3234454,13;3238997,08;2734469,03;3127712,11;3334298,61;3935827,93;3062867,15;36830386,73
"432160 Tramandaí";2593164,57;2983153,06;3448329,18;2961445,81;4073987,39;6962158,26;7513475,75;7963802,98;6790763,01;6224847,24;6578107,51;7091439,82;5770348,00;70955022,58
"432163 Três Arroios";57070,36;58853,39;43435,85;32145,84;33122,77;31099,24;34255,47;31921,13;26070,23;23365,30;11637,78;-;-;382977,36
"432170 Três Coroas";405704,90;530038,01;537502,37;589246,41;821112,08;861510,12;965245,49;950200,35;803718,51;840520,58;735349,06;756630,51;405244,35;9202022,74
"432180 Três de Maio";926419,99;887010,78;1014280,55;1326870,44;2114795,55;1746232,79;1967935,39;1932968,57;1917206,70;1904100,06;1874699,03;2003177,73;1239742,43;20855440,01
"432190 Três Passos";2713320,58;2824772,39;2809987,73;2596701,81;2594625,63;2560177,95;2958254,52;2996301,34;3500116,13;3514660,55;3442033,77;3579902,97;2082317,29;38173172,66
"432195 Trindade do Sul";260993,80;270956,97;220021,62;225696,86;217893,00;222043,85;144431,61;145657,21;135667,63;186423,70;168439,57;202378,24;121926,95;2522531,01
"432200 Triunfo";671259,12;741708,66;661473,67;668083,19;667286,47;638592,43;742024,22;617354,50;549329,75;356586,38;247857,44;262419,38;201424,43;7025399,64
"432210 Tucunduva";211551,56;261146,35;223873,66;261892,94;282380,24;290305,28;231006,64;231024,88;287739,21;305431,90;275782,16;274965,76;155027,31;3292127,89
"432220 Tupanciretã";563121,34;607274,28;566098,66;621249,34;738562,24;839452,38;818322,00;876020,02;855698,81;695497,49;570960,28;552561,85;288550,71;8593369,40
"432230 Tuparendi";240346,24;231465,47;349170,89;304578,74;314395,39;313477,36;316970,28;337386,95;276658,79;308690,97;315009,19;299810,55;210488,00;3818448,82
"432240 Uruguaiana";4769536,01;5421484,45;6962039,11;7158259,52;6778680,99;8154373,35;11673591,75;10775928,14;10587817,47;12059973,87;10064899,58;7287207,72;5033160,86;106726952,82
"432250 Vacaria";2407537,11;3034962,03;3534319,70;3324755,33;3732067,83;3953706,24;4137368,04;4227773,55;4313151,88;4464764,97;4691114,57;4883392,33;3059685,20;49764598,78
"432253 Vale do Sol";236623,98;250364,45;220742,42;247418,92;231991,40;268086,82;277829,49;268219,38;217933,60;288541,68;351287,52;350188,85;179302,51;3388531,02
"432260 Venâncio Aires";1713175,38;1800065,26;1712423,85;1750905,85;2295650,76;2387352,86;3003509,99;3966040,17;4366909,52;4165137,29;4357405,82;4268511,09;3005017,58;38792105,42
"432270 Vera Cruz";502263,51;572655,91;582102,78;571016,57;592496,06;624120,24;721442,56;663717,75;572993,99;556384,64;404840,56;307369,81;169622,25;6841026,63
"432280 Veranópolis";467532,46;658660,24;778151,12;841814,88;809678,26;852769,48;953014,91;962319,44;1090818,08;1205909,15;1204266,00;1267103,72;814972,09;11907009,83
"432290 Viadutos";120571,75;102791,12;101106,55;90994,70;94272,37;80580,24;103222,22;90537,19;96468,89;105590,35;77453,21;89800,38;54217,77;1207606,74
"432300 Viamão";2724407,35;3619949,44;3667504,21;3310724,02;3367483,21;4775423,45;4902891,82;5461223,16;5508644,13;5199804,16;5175584,93;5661478,71;5139674,31;58514792,90
"432310 Vicente Dutra";84945,21;68349,16;64787,31;41064,47;-;45556,20;25987,53;39762,91;29081,20;18500,48;8940,91;-;-;426975,38
"432320 Victor Graeff";20544,78;42123,37;18592,36;15277,79;-;-;-;-;-;-;-;-;-;96538,30
"432340 Vila Maria";44690,13;7694,91;-;-;-;-;-;-;-;-;-;-;-;52385,04
"432370 Vista Gaúcha";52738,26;48533,97;18444,38;8805,82;-;-;-;2514,32;-;9652,24;1189,29;-;-;141878,28
"500020 Água Clara";133703,45;196369,73;170021,58;195687,16;159642,09;155871,75;122996,08;58961,84;95037,08;189936,33;189312,22;207337,29;160912,08;2035788,68
"500060 Amambai";936172,49;990746,43;984842,95;933912,58;787159,48;830681,89;856897,48;831063,98;814395,74;831435,35;839476,26;838856,41;518984,27;10994625,31
"500070 Anastácio";253796,53;351337,85;401157,78;465933,67;463255,92;426526,04;446876,85;396042,49;331937,01;206720,03;294601,84;316749,72;243596,26;4598531,99
"500080 Anaurilândia";149366,57;194144,28;174205,69;172641,23;175354,41;210859,41;168186,28;153659,99;133889,97;121175,07;124656,06;122774,03;71987,76;1972900,75
"500085 Angélica";146323,29;178124,39;198416,84;185513,23;138828,12;142490,51;125745,50;127343,89;114663,36;101736,96;117788,64;156642,30;86983,32;1820600,35
"500090 Antônio João";73153,47;107768,95;157403,31;190845,69;80204,90;137850,94;108804,21;102925,78;113732,77;82312,78;91221,56;118811,99;58836,04;1423872,39
"500100 Aparecida do Taboado";351080,23;465594,38;561654,98;358006,39;313980,94;400174,48;322158,97;238327,41;280230,27;219921,96;210873,07;385760,27;157870,72;4265634,07
"500110 Aquidauana";2028467,54;2631518,98;2930048,64;2606269,00;2729960,93;2876232,91;3349778,37;3225135,53;3187843,90;3496859,37;3657153,60;3492988,07;1957500,26;38169757,10
"500124 Aral Moreira";45769,60;87518,21;143061,51;165152,24;140278,27;131025,46;166622,07;162837,48;156777,00;201521,20;194763,03;199218,85;86399,05;1880943,97
"500150 Bandeirantes";11352,22;6376,49;28412,68;17349,99;6026,46;55342,80;20272,25;17603,72;5956,88;6195,21;21156,68;12041,58;26415,83;234502,79
"500190 Bataguassu";402699,39;444978,69;406249,73;390241,70;354807,59;351953,94;343030,20;402167,22;444490,40;460802,35;426353,45;471541,75;314394,29;5213710,70
"500200 Batayporã";236819,63;249044,78;240961,28;198151,67;197383,53;224241,25;211001,29;219680,70;195332,57;-;-;-;-;1972616,70
"500210 Bela Vista";301883,86;399727,67;527913,09;577179,36;565312,81;424872,69;562252,95;468416,19;527161,71;506625,56;505963,30;480722,47;266155,60;6114187,26
"500215 Bodoquena";69535,67;132796,94;189481,94;164092,99;110032,96;132686,77;158729,83;146838,20;139458,26;136171,66;135088,45;132553,84;56157,02;1703624,53
"500220 Bonito";408142,03;575904,46;377866,03;537829,57;438577,69;400000,02;399639,26;445119,75;454615,45;429306,67;495032,58;472246,36;287197,84;5721477,71
"500230 Brasilândia";228332,70;253715,52;222541,29;195268,44;208980,72;229254,80;265735,23;269674,49;241784,05;205957,55;246643,69;232739,36;149854,14;2950481,98
"500240 Caarapó";381138,40;472398,07;540511,00;634667,88;637555,69;631146,93;566175,13;564169,67;516367,79;528995,97;505290,77;502257,67;301892,66;6782567,63
"500260 Camapuã";247779,36;325888,51;262002,05;327988,62;277308,92;235558,03;262240,86;237514,07;183110,82;117986,02;132972,74;139087,38;37529,30;2786966,68
"500270 Campo Grande";61102189,47;77956761,74;85142639,78;90964458,95;96534663,71;105173289,04;111527483,87;123344757,99;126443562,28;127275765,61;132393925,41;139441981,13;97212421,60;1374513900,58
"500280 Caracol";6941,64;53762,24;68615,76;51816,18;37414,72;66924,66;78985,43;85185,49;68594,51;92196,18;101353,36;95043,38;42521,91;849355,46
"500290 Cassilândia";459153,22;321520,81;325047,29;300717,40;310121,75;308786,85;297667,42;290972,82;301076,04;327252,19;339152,17;407725,79;137449,67;4126643,42
"500295 Chapadão do Sul";358827,74;256490,69;405334,35;259502,13;492476,13;491232,92;505721,49;671091,75;725779,35;711681,64;896726,41;1082879,01;748746,11;7606489,72
"500315 Coronel Sapucaia";90769,76;107344,33;74987,80;76839,20;59644,03;116557,49;126143,12;107559,92;170929,03;131825,03;220833,75;221229,46;129804,19;1634467,11
"500320 Corumbá";3026360,39;3836175,35;4164410,49;4246096,11;3783238,36;5508986,04;5408738,83;5401186,99;4851283,16;5253833,92;5667921,05;5486431,66;3460712,35;60095374,70
"500325 Costa Rica";515625,31;498867,43;413251,56;472191,41;448112,98;518756,99;697866,34;644364,66;704397,18;722723,76;829023,85;946251,73;629628,70;8041061,90
"500330 Coxim";774556,14;840881,02;938181,18;1168635,24;1038868,06;1098535,26;1003452,28;881402,66;1126306,17;1057906,24;1426629,32;1109470,11;764224,64;13229048,32
"500345 Deodápolis";301001,08;355099,12;423034,57;268855,22;153477,75;128170,76;105957,61;84258,20;43640,52;37922,26;59705,29;50797,95;51313,67;2063234,00
"500348 Dois Irmãos do Buriti";64112,14;120729,47;110506,85;160948,06;144030,73;138020,18;144770,21;143053,77;169386,59;149464,66;121760,86;93373,55;59696,72;1619853,79
"500370 Dourados";12991624,94;18791992,86;20166043,15;19214297,43;19168752,36;23341823,52;21217378,15;21845041,46;23412355,45;25729055,09;25489571,42;31236480,08;21739274,13;284343690,04
"500375 Eldorado";550433,78;463364,92;391265,29;366586,24;268301,58;-;-;-;-;-;-;-;-;2039951,81
"500380 Fátima do Sul";430109,47;540018,15;511085,08;453546,32;557223,10;523197,16;543870,72;623016,43;777008,30;809668,81;756407,44;769329,87;410362,13;7704842,98
"500400 Glória de Dourados";104869,43;139982,24;146134,09;163499,71;164065,63;167083,86;160338,26;164069,29;169047,52;171688,79;179708,12;172214,99;120645,37;2023347,30
"500410 Guia Lopes da Laguna";318860,97;293776,59;342236,48;303524,76;257081,24;294681,74;107086,60;85763,31;129801,27;200997,62;220457,78;263747,92;98442,67;2916458,95
