 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano processamento
Período:Jan/2008-Ago/2020
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"150600 Prainha";186676,92;213733,49;420473,30;408701,27;439736,35;403284,72;280410,38;433858,16;378513,77;384127,61;368126,22;420269,30;333566,47;4671477,96
"150613 Redenção";5454458,38;8229253,08;8261551,20;8469735,55;7711163,09;9096185,04;8688319,61;8829821,82;9113018,34;8518916,47;9117236,25;9029439,22;5878036,47;106397134,52
"150616 Rio Maria";664197,24;651531,38;707808,40;741277,45;648775,80;933830,91;535723,57;556234,96;404780,68;396243,47;430622,69;436118,32;344730,36;7451875,23
"150618 Rondon do Pará";2803163,86;2868945,78;2812725,12;2658013,82;2136637,20;2654253,22;2591175,69;2596060,90;1862212,33;1419736,10;1514007,44;1558562,47;829032,98;28304526,91
"150619 Rurópolis";438621,36;398164,18;592707,87;640934,52;711298,27;644188,38;613201,29;623916,07;582051,11;586376,22;604107,37;626215,25;276668,98;7338450,87
"150620 Salinópolis";2564437,78;3292550,08;2757758,22;1775638,26;1564075,70;1413901,37;1126005,82;800181,59;1064805,00;1219953,05;1309939,14;1350498,92;834708,94;21074453,87
"150630 Salvaterra";421949,83;361577,12;436335,42;441853,98;387221,81;479219,18;408652,00;421281,28;408489,72;378650,47;366365,10;351445,71;215063,84;5078105,46
"150640 Santa Cruz do Arari";-;-;19241,89;59015,58;69107,78;79009,07;92233,15;119622,10;130627,73;143691,76;132239,04;141471,70;89492,51;1075752,31
"150650 Santa Izabel do Pará";1714937,93;1913436,54;1911180,22;1944205,68;1883725,98;1776836,56;1730904,91;1200182,66;-;187672,58;204328,29;273447,75;333378,26;15074237,36
"150658 Santa Maria das Barreiras";245852,39;246617,49;235488,14;252365,63;232087,27;239270,10;221624,47;212611,76;184410,81;135571,30;163593,20;216235,49;124241,41;2709969,46
"150660 Santa Maria do Pará";743032,23;883843,27;972880,90;918681,47;874488,26;520145,44;574807,67;147874,34;611479,15;475011,53;424195,80;467827,52;226807,10;7841074,68
